"","time","fault"
"1",31,0
"2",30,0
"3",31,0
"4",31,0
"5",30,0
"6",31,0
"7",30,0
"8",31,0
"9",31,0
"10",28,0
"11",31,0
"12",30,0
"13",31,0
"14",30,0
"15",31,0
"16",31,0
"17",30,0
"18",31,0
"19",30,0
"20",31,0
"21",31,0
"22",28,0
"23",31,0
"24",30,0
"25",31,0
"26",30,0
"27",31,0
"28",31,0
"29",30,0
"30",31,0
"31",30,0
"32",31,0
"33",31,0
"34",28,0
"35",31,0
"36",30,0
"37",31,0
"38",30,0
"39",31,0
"40",31,0
"41",30,0
"42",31,0
"43",30,0
"44",31,0
"45",31,0
"46",29,0
"47",31,0
"48",30,0
"49",31,0
"50",30,0
"51",31,0
"52",31,0
"53",30,0
"54",31,0
"55",30,0
"56",31,0
"57",31,0
"58",28,0
"59",31,0
"60",30,0
"61",31,0
"62",30,0
"63",31,0
"64",31,1
"65",30,0
"66",31,0
"67",30,0
"68",31,0
"69",31,0
"70",28,0
"71",31,0
"72",30,0
"73",31,0
"74",30,0
"75",31,0
"76",31,0
"77",30,0
"78",31,0
"79",30,0
"80",31,0
"81",31,0
"82",28,0
"83",31,0
"84",30,0
"85",31,0
"86",30,0
"87",31,0
"88",31,0
"89",30,0
"90",31,0
"91",30,0
"92",31,0
"93",31,0
"94",29,0
"95",31,0
"96",30,0
"97",31,0
"98",30,0
"99",31,0
"100",31,0
"101",30,0
"102",31,0
"103",30,0
"104",31,0
"105",31,0
"106",28,0
"107",31,0
"108",30,0
